Policy,Env,Seed,Time (HH:MM)
TD3,InvertedPendulum-v5,0,00:54
TD3,Walker2d-v5,0,00:56
DDPG,InvertedPendulum-v5,0,00:57
DDPG,Walker2d-v5,0,00:59
TD3,Ant-v5,0,01:08
DDPG,Ant-v5,0,01:19
TD3,InvertedPendulum-v5,1,00:54
TD3,Walker2d-v5,1,00:58
DDPG,InvertedPendulum-v5,1,00:58
DDPG,Walker2d-v5,1,00:58
TD3,Ant-v5,1,01:11
DDPG,Ant-v5,1,01:18
TD3,InvertedPendulum-v5,2,00:53
TD3,Walker2d-v5,2,00:58
DDPG,InvertedPendulum-v5,2,00:57
DDPG,Walker2d-v5,2,00:59
TD3,Ant-v5,2,01:09
TD3,InvertedPendulum-v5,3,00:53
TD3,Walker2d-v5,3,00:58
DDPG,InvertedPendulum-v5,3,00:58
DDPG,Ant-v5,2,01:16
DDPG,Walker2d-v5,3,00:59
TD3,InvertedPendulum-v5,4,00:53
TD3,Ant-v5,3,01:08
TD3,Walker2d-v5,4,00:57
DDPG,InvertedPendulum-v5,4,00:57
DDPG,Walker2d-v5,4,00:59
DDPG,Ant-v5,3,01:16
TD3,Ant-v5,4,01:09
DDPG,Ant-v5,4,01:15
TD3,Reacher-v5,0,00:49
DDPG,Reacher-v5,0,00:54
TD3,HalfCheetah-v5,0,00:56
TD3,InvertedDoublePendulum-v5,0,00:57
TD3,Hopper-v5,0,00:58
DDPG,Hopper-v5,0,01:00
DDPG,InvertedDoublePendulum-v5,0,01:00
DDPG,HalfCheetah-v5,0,01:00
TD3,Humanoid-v5,0,01:26
TD3,Reacher-v5,1,00:48
DDPG,Reacher-v5,1,00:53
TD3,HalfCheetah-v5,1,00:55
TD3,InvertedDoublePendulum-v5,1,00:56
TD3,Hopper-v5,1,00:55
DDPG,HalfCheetah-v5,1,00:59
DDPG,Hopper-v5,1,00:59
DDPG,InvertedDoublePendulum-v5,1,01:00
DDPG,Humanoid-v5,0,02:18
TD3,Reacher-v5,2,00:48
DDPG,Reacher-v5,2,00:53
TD3,HalfCheetah-v5,2,00:55
TD3,InvertedDoublePendulum-v5,2,00:56
TD3,Humanoid-v5,1,01:23
TD3,Hopper-v5,2,00:57
DDPG,HalfCheetah-v5,2,00:59
DDPG,Hopper-v5,2,01:00
DDPG,InvertedDoublePendulum-v5,2,01:00
TD3,Reacher-v5,3,00:49
DDPG,Reacher-v5,3,00:53
TD3,HalfCheetah-v5,3,00:56
TD3,InvertedDoublePendulum-v5,3,00:56
TD3,Hopper-v5,3,00:56
DDPG,HalfCheetah-v5,3,00:59
DDPG,InvertedDoublePendulum-v5,3,00:59
DDPG,Hopper-v5,3,01:00
TD3,Reacher-v5,4,00:49
TD3,Humanoid-v5,2,01:21
DDPG,Reacher-v5,4,00:53
DDPG,Humanoid-v5,1,02:11
TD3,HalfCheetah-v5,4,00:55
TD3,InvertedDoublePendulum-v5,4,00:56
TD3,Hopper-v5,4,00:55
DDPG,HalfCheetah-v5,4,00:59
DDPG,InvertedDoublePendulum-v5,4,01:00
DDPG,Hopper-v5,4,01:00
TD3,Humanoid-v5,3,01:24
